Days,Region,Cases
18,Warmia–Masuria (WN),22
19,Warmia–Masuria (WN),25
20,Warmia–Masuria (WN),29
21,Warmia–Masuria (WN),33
22,Warmia–Masuria (WN),39
23,Warmia–Masuria (WN),44
0,Greater Poland (WP),0
1,Greater Poland (WP),0
2,Greater Poland (WP),0
3,Greater Poland (WP),0
4,Greater Poland (WP),0
5,Greater Poland (WP),1
6,Greater Poland (WP),1
7,Greater Poland (WP),2
8,Greater Poland (WP),5
9,Greater Poland (WP),6
10,Greater Poland (WP),7
11,Greater Poland (WP),7
12,Greater Poland (WP),11
13,Greater Poland (WP),13
14,Greater Poland (WP),13
15,Greater Poland (WP),15
16,Greater Poland (WP),18
17,Greater Poland (WP),31
18,Greater Poland (WP),37
19,Greater Poland (WP),41
20,Greater Poland (WP),43
21,Greater Poland (WP),58
22,Greater Poland (WP),70
23,Greater Poland (WP),91
0,West Pomerania (ZP),0
1,West Pomerania (ZP),0
2,West Pomerania (ZP),2
3,West Pomerania (ZP),2
4,West Pomerania (ZP),2
5,West Pomerania (ZP),2
6,West Pomerania (ZP),2
7,West Pomerania (ZP),2
8,West Pomerania (ZP),3
9,West Pomerania (ZP),5
10,West Pomerania (ZP),5
11,West Pomerania (ZP),6
12,West Pomerania (ZP),6
13,West Pomerania (ZP),8
14,West Pomerania (ZP),8
15,West Pomerania (ZP),9
16,West Pomerania (ZP),9
17,West Pomerania (ZP),10
18,West Pomerania (ZP),12
19,West Pomerania (ZP),16
20,West Pomerania (ZP),25
21,West Pomerania (ZP),30
22,West Pomerania (ZP),32
23,West Pomerania (ZP),39
